en,zh,k_en,k_zh,k_min,cos_BGE-EN-large_vs_BGE-ZH-large,cos_BGE-M3-EN_vs_BGE-M3-ZH
make,作出申述,8,8,8,0.0124,0.7089
multiplier,乘數,8,7,7,0.0124,0.7933
normally,通常,8,8,8,0.0124,0.6772
predominantly,主要,8,8,8,0.0124,0.661
revising,審裁官,8,8,8,0.0124,0.6256
depart from,偏離,8,8,8,0.0125,0.5946
potential,潛在,8,8,8,0.0125,0.7385
several,各別,8,8,8,0.0125,0.6554
reproduced in legible form,以可閱讀形式重現,8,8,8,0.0125,0.7096
casual,臨時僱員,8,8,8,0.0125,0.5695
forthwith,隨即,8,8,8,0.0125,0.7535
fulfil,履行,8,8,8,0.0125,0.6547
physical,身體衰弱,8,8,8,0.0125,0.6523
bookmaking,收受賭注,5,6,5,0.0126,0.6584
fishing,漁船,8,8,8,0.0126,0.7664
investigation,調查,8,8,8,0.0126,0.7284
loading,負荷量,8,7,7,0.0126,0.6036
Director of Public Prosecutions; DPP,刑事檢控專員,3,3,3,0.0127,0.6641
certified,經核證,8,8,8,0.0127,0.7043
consummate,完成,2,8,2,0.0127,0.5664
par value,面值,4,8,4,0.0127,0.7222
at law,在法律上,8,8,8,0.0127,0.7019
consultant,顧問,8,8,8,0.0127,0.7224
lunacy,精神錯亂,4,8,4,0.0127,0.5652
decision,判定,8,8,8,0.0128,0.6915
artistic,藝術表達,8,2,2,0.0128,0.612
insurrection,叛亂,6,7,6,0.0128,0.6743
practitioner,法律執業者,8,8,8,0.0128,0.6923
facial,蒙面物品,2,2,2,0.0128,0.7331
competition,競爭,8,8,8,0.0129,0.7196
domain,土地所有權,8,2,2,0.0129,0.5325
Maritime Safety Committee,海上安全委員會,4,8,4,0.0129,0.841
discover,找出,4,8,4,0.0129,0.6713
failure,不履行,8,8,8,0.013,0.7681
additive,添加劑,8,8,8,0.013,0.8114
amalgamate,合併,4,8,4,0.013,0.6011
Chinese medicine,中醫藥學,8,8,8,0.013,0.6524
collective investment scheme,集體投資計劃,8,8,8,0.013,0.7879
evade,規避,8,8,8,0.013,0.5775
notifiable,須予通知,8,8,8,0.013,0.6855
incubation,過渡期,3,8,3,0.013,0.625
British Standard Specification,英國標準規格,7,8,7,0.013,0.7689
holder,持有人,8,8,8,0.0131,0.8092
impervious,不受影響,8,8,8,0.0131,0.6199
post-nuptial,婚後,2,8,2,0.0131,0.5383
recess,休庭,8,8,8,0.0131,0.5622
host,《東道國協定》,8,2,2,0.0131,0.5469
expulsion,驅逐,8,8,8,0.0131,0.7528
mother,代母,8,8,8,0.0131,0.6013
non-excluded,非豁除人士,3,4,3,0.0131,0.6002
inciting,煽惑,8,8,8,0.0131,0.7215
Minor Offences Report,輕微違紀行為報告,2,2,2,0.0132,0.6583
usual,一般,8,8,8,0.0132,0.6163
float,儲值金額,8,8,8,0.0132,0.5042
in accordance with,依法,8,8,8,0.0132,0.717
cash-against-delivery,銀貨兩訖形式,3,2,2,0.0132,0.6551
uniform,劃一,8,8,8,0.0132,0.7205
corporate,公司,8,8,8,0.0133,0.6439
inherent,固有,8,8,8,0.0133,0.5219
remittance,匯款,8,8,8,0.0133,0.7368
taxation,課稅,8,8,8,0.0133,0.5675
arithmetic,算術平均數,7,8,7,0.0133,0.7388
commercially,敏感的商業資料,8,2,2,0.0133,0.5942
annotation,註明,6,8,6,0.0134,0.6797
below,下級法庭,8,8,8,0.0134,0.5882
in good faith,真誠地,8,8,8,0.0134,0.6681
regulating,規管制度,8,7,7,0.0134,0.699
Review Certificate of Interim Payment,臨時付款審核證明書,4,3,3,0.0134,0.7278
sustainability,可持續性,4,4,4,0.0134,0.6502
sub-contractor,次承判商,8,8,8,0.0134,0.6584
assertion,主張,7,8,7,0.0135,0.6884
deliberation,商議,8,8,8,0.0135,0.6458
savings,儲蓄,8,8,8,0.0135,0.7751
supersede,取代,8,8,8,0.0135,0.6609
bunkering,燃料裝艙,8,4,4,0.0135,0.5939
detainer,扣留,3,8,3,0.0135,0.7503
in favour,表決贊成,8,8,8,0.0135,0.6032
inspector,視察主任,8,8,8,0.0135,0.6973
libellous,帶永久形式誹謗的文字,2,2,2,0.0135,0.4618
optometrist,註冊視光師,8,5,5,0.0135,0.737
inure,使適用,2,4,2,0.0136,0.3988
payment,中期付款,8,8,8,0.0136,0.7488
grandparent,繼祖父母或繼外祖父母,8,2,2,0.0136,0.6864
justice of the peace,太平紳士,8,8,8,0.0136,0.6854
livestock waste,禽畜廢物,8,8,8,0.0136,0.7901
interrogatory,質詢,7,8,7,0.0137,0.6185
operative,有法律效力,8,8,8,0.0137,0.7014
public,公開,8,8,8,0.0137,0.6319
seniority,年資,8,8,8,0.0137,0.545
shareholder,股份持有人,8,8,8,0.0137,0.5989
transaction,交易,8,8,8,0.0137,0.734
bodily,身體嚴重傷害,8,4,4,0.0137,0.6076
place of establishment,設立地,5,5,5,0.0137,0.7024
answer,應保,8,8,8,0.0138,0.639
provisional,暫定,8,8,8,0.0138,0.6312
abstract,撮錄,8,8,8,0.0138,0.6523
co-ordinate,統籌,8,8,8,0.0138,0.6659
investing,投資大眾,8,8,8,0.0138,0.6473
sub-licensee,再授特許持有人,2,3,2,0.0138,0.7217
superintendent,院長,8,8,8,0.0138,0.6453
budget,財政預算,8,8,8,0.0138,0.6786
hybrid,混合式按損害賠償收費協議,7,2,2,0.0138,0.4503
gratuitous,免費,6,8,6,0.0139,0.575
substitute,替代,8,8,8,0.0139,0.7132
acceptable,可予接受,8,8,8,0.0139,0.619
efficacy,效力,8,8,8,0.0139,0.6078
height,預計高度,8,3,3,0.0139,0.5906
legally competent,在法律上不合乎資格,2,2,2,0.0139,0.6682
consensus,一致意見,4,3,3,0.014,0.6215
consolidation,合併,8,8,8,0.014,0.6226
invalidate,變成無效,8,2,2,0.014,0.5778
chattel,實產,8,8,8,0.014,0.6534
reinstatement,恢復,8,8,8,0.014,0.6719
maltreatment,虐待兒童,2,8,2,0.014,0.614
anti-competitive conduct,反競爭行為,3,3,3,0.0141,0.754
attention,注意,8,8,8,0.0141,0.6946
convertible bonds,可換股債券,3,3,3,0.0141,0.7329
book-entry,記帳證券,2,2,2,0.0141,0.7307
Home Ownership Scheme,居者有其屋計劃,8,7,7,0.0141,0.7879
irrespective of,不論,8,8,8,0.0141,0.4976
Tomlin,湯林命令,4,4,4,0.0141,0.4433
direction,指引,8,8,8,0.0142,0.6899
duty,關稅,8,8,8,0.0142,0.6252
presents,本文件,8,8,8,0.0142,0.6783
exercisable,可予行使,8,8,8,0.0142,0.7044
investigator,調查員,8,8,8,0.0142,0.7847
multi-level,多層客户結構,8,8,8,0.0142,0.6215
fault,故障,8,8,8,0.0143,0.6584
intention,意向,8,8,8,0.0143,0.6657
quasi-contract,準合約,3,4,3,0.0143,0.6498
take over,接收,8,8,8,0.0143,0.5956
item,享有法律特權的品目,8,8,8,0.0143,0.7426
by force,使用武力,8,8,8,0.0143,0.6861
Code on Takeovers and Mergers,公司收購及合併守則,2,3,2,0.0143,0.6647
premature,為時過早,8,3,3,0.0143,0.4839
secrete,隱藏,2,8,2,0.0143,0.6617
solicitation,募捐,5,3,3,0.0143,0.5626
competent,具有權力,8,8,8,0.0144,0.7472
contravene,抵觸,8,8,8,0.0144,0.6334
cut-off date,截止日期,8,8,8,0.0144,0.7484
calling,事業,8,8,8,0.0144,0.6902
deafness,失聰,8,8,8,0.0144,0.7694
no later,不遲於,8,8,8,0.0144,0.6106
arrears; arrear,拖欠,8,8,8,0.0145,0.6027
without notice,不知悉,8,8,8,0.0145,0.6362
bargaining,議價能力,5,2,2,0.0145,0.65
tobacco,香煙煙草,8,7,7,0.0145,0.6954
allocatur,訟費評定證明書,4,5,4,0.0146,0.5704
privilege,特權,8,8,8,0.0146,0.6724
for the time being,在當其時,8,8,8,0.0146,0.7347
closing,截止,8,8,8,0.0147,0.6188
inference,推斷,8,8,8,0.0147,0.7135
prior,優先,8,8,8,0.0147,0.6841
artificial insemination,人工受精,3,2,2,0.0147,0.7956
recognize,確認,8,8,8,0.0147,0.4864
furniture,固定附着物、裝置或家具,8,2,2,0.0147,0.6451
rigging,操控價格的行為,6,2,2,0.0147,0.4627
inform,告發,8,8,8,0.0148,0.6986
ascribe,屬,3,8,3,0.0148,0.4439
undischarged,未獲解除破產的人,8,8,8,0.0148,0.7159
Head of Government,政府首長,2,2,2,0.0148,0.709
precious,寶石,8,8,8,0.0148,0.5354
supranational,超國家機構,2,2,2,0.0148,0.315
article,物件,8,8,8,0.0149,0.7107
avoidance,使無效,8,8,8,0.0149,0.5209
leading,引導,8,8,8,0.0149,0.7104
listed,上市公司,8,8,8,0.0149,0.6131
saleable area,實用面積,8,8,8,0.0149,0.6677
spectrum,頻譜,8,8,8,0.0149,0.8108
Chief Magistrate,總裁判官,2,2,2,0.015,0.5058
in esse,確實存在,2,3,2,0.015,0.4809
primary,主要,8,8,8,0.015,0.6562
re-examination,覆問,8,8,8,0.015,0.6152
Senior Counsel; S.C.,資深大律師,8,8,8,0.015,0.73
interposed,中間人,8,8,8,0.015,0.5748
restore,還原,8,8,8,0.015,0.6508
satisfactory,令人信納的證據,8,3,3,0.015,0.6157
Senior Counsel,資深大律師,8,8,8,0.015,0.73
repeated,非只一次失效,8,2,2,0.015,0.553
subordinate,下屬,8,8,8,0.0151,0.6908
transitional,過渡,8,8,8,0.0151,0.7768
valid,有效,8,8,8,0.0151,0.7743
reciprocating,交互執行國,8,8,8,0.0151,0.7145
inert,《惰性氣體系統指南》,8,3,3,0.0151,0.6799
perpetuate,使證供得以繼續留存,2,3,2,0.0151,0.5282
profile,風險狀況,8,8,8,0.0151,0.545
up to date,反映現況,8,2,2,0.0151,0.7105
seriously,嚴重擾亂,8,2,2,0.0151,0.5134
acquisition,取得,8,8,8,0.0152,0.6187
at all material times,在所有關鍵時間,6,2,2,0.0152,0.4976
distress,扣押,8,8,8,0.0152,0.6467
jurat,誓章末處,8,8,8,0.0152,0.6784
concealment,隱瞞,8,8,8,0.0152,0.7165
re-election,再被選舉,8,3,3,0.0152,0.8017
evidentiary,舉證責任,3,8,3,0.0152,0.6441
age,年齡,8,8,8,0.0153,0.729
purpose,用途,8,8,8,0.0153,0.8065
privately,以私人身分,8,2,2,0.0153,0.591
infectious,傳染病,8,8,8,0.0153,0.7279
not registrable,不可註冊,8,4,4,0.0153,0.7385
librarian,圖書館館長,8,8,8,0.0153,0.7819
wilful,故意,8,8,8,0.0154,0.5357
according to,按,8,8,8,0.0154,0.5125
candour,誠信公正品格,2,2,2,0.0154,0.3767
close proximity,貼近,8,8,8,0.0154,0.837
cut-off,截數日期,8,4,4,0.0154,0.5877
chose,物,8,8,8,0.0155,0.5967
contemplation,考慮,8,8,8,0.0155,0.671
order,狀況,8,8,8,0.0155,0.7514
underground,地下,8,8,8,0.0155,0.7189
consider,考慮,8,8,8,0.0155,0.6329
creditworthiness,信用可靠性,8,2,2,0.0155,0.5923
decree nisi,暫准判令,8,8,8,0.0155,0.5684
difficulty,困難,8,8,8,0.0155,0.5971
erase,刪除,7,8,7,0.0155,0.6132
fire,火災危險,8,8,8,0.0155,0.7181
seaman,水手,8,8,8,0.0155,0.6944
clerical error,文書上的錯誤,8,8,8,0.0156,0.7473
solicitor,由大律師或律師代表,8,8,8,0.0156,0.5906
word,字,8,8,8,0.0156,0.7341
evacuation,撤離,8,8,8,0.0156,0.7978
excessive,明顯過重,8,2,2,0.0156,0.5103
criticism,批評,6,5,5,0.0156,0.6098
national,公民,8,8,8,0.0157,0.7279
commander,機長,8,8,8,0.0157,0.7962
contained,圍封使用,8,3,3,0.0157,0.5976
contradict,反駁,7,8,7,0.0157,0.5939
liquefied gas,液化氣體船,8,8,8,0.0157,0.7282
depreciation,貶值,8,8,8,0.0158,0.6096
founder member,創辦成員,8,8,8,0.0158,0.6852
abut,緊連,6,8,6,0.0158,0.5646
incapacitated,精神上無行為能力的人,8,8,8,0.0158,0.7228
market value,市值,8,8,8,0.0158,0.6025
boarding,寄宿學校,8,6,6,0.0158,0.5309
related company,關連公司,8,8,8,0.0159,0.7168
bulk,《散裝運輸危險化學品船舶構造和設備規則》,8,8,8,0.0159,0.5449
anonymous,匿名,5,8,5,0.0159,0.7313
contributor,供款人,8,8,8,0.0159,0.715
lunar,農曆月,7,3,3,0.0159,0.6725
prominently,顯明地,8,8,8,0.0159,0.6512
franchisee,獲授專營權者,6,3,3,0.016,0.5699
accretion,增值,8,8,8,0.016,0.7024
defalcation,虧空,8,8,8,0.016,0.7381
measurement,《1969年國際船舶噸位丈量公約》,8,2,2,0.016,0.6326
accidental,意外遺漏,8,8,8,0.016,0.6024
substantially,大致上,8,8,8,0.016,0.582
non-working,非工作日,6,8,6,0.016,0.4249
satire,諷刺,4,5,4,0.016,0.6596
Hong Kong Garrison,香港駐軍,8,8,8,0.016,0.6961
appear,應訊,8,8,8,0.0161,0.6578
deter,阻嚇,7,8,7,0.0161,0.6826
accordingly,據此解釋,8,8,8,0.0161,0.5643
contravention,違反,8,8,8,0.0161,0.7975
incidentally,附帶地,8,8,8,0.0161,0.706
abatement,減除,8,8,8,0.0162,0.6304
passing off,假冒,4,8,4,0.0162,0.6556
settlement,清繳,8,8,8,0.0162,0.5901
covert,秘密監察,8,8,8,0.0162,0.5992
transcription,謄本,8,8,8,0.0162,0.7384
building,建築,8,8,8,0.0163,0.7258
unification,合併,7,8,7,0.0163,0.7055
International Monetary Fund,國際貨幣基金,4,3,3,0.0163,0.6823
rescue,《國際航空和海上搜尋救助手冊》,8,2,2,0.0163,0.624
accept,承兌,8,8,8,0.0163,0.6701
accessible,可到達,8,8,8,0.0163,0.7237
argue,爭辯,2,8,2,0.0163,0.6904
intervener,介入者,8,2,2,0.0163,0.8211
non-effective,不再服務薪津,2,2,2,0.0163,0.4599
toll,收費,8,8,8,0.0163,0.5819
dominions,領土,7,8,7,0.0163,0.5761
gross,嚴重,8,8,8,0.0164,0.5929
assemble,聚集,8,8,8,0.0164,0.6868
non-commercial,非商業目,8,8,8,0.0164,0.7747
philanthropic,公益,4,6,4,0.0164,0.7336
abnormality,神志失常,5,2,2,0.0164,0.6953
commerce,商事,8,8,8,0.0165,0.6145
insubordination,不服從上級,6,4,4,0.0165,0.74
rating,評級,8,8,8,0.0165,0.6029
redeemable shares,可贖回股份,8,8,8,0.0165,0.7921
undertake,承擔,8,8,8,0.0165,0.6148
at call,通知存款,8,8,8,0.0165,0.4973
pre-tax,除稅前利潤,3,4,3,0.0165,0.7121
sales,銷售量,8,3,3,0.0165,0.6015
survey,檢驗,8,8,8,0.0165,0.6295
waive,免除,8,8,8,0.0165,0.7622
Collector,印花稅署署長,8,6,6,0.0165,0.5156
gaseous,氣體燃料,8,8,8,0.0165,0.6145
head of damages,損害賠償項目,2,2,2,0.0166,0.6614
accumulate,累積,8,8,8,0.0166,0.6698
vacancy,空缺,8,8,8,0.0166,0.5818
parody,戲仿,4,4,4,0.0166,0.6558
amends,賠償,8,8,8,0.0167,0.652
transient,短暫,5,8,5,0.0167,0.6311
blameworthiness,過失責任,3,2,2,0.0167,0.5551
exchange traded fund,交易所買賣基金,8,8,8,0.0167,0.8409
leviable,可徵費,8,2,2,0.0167,0.597
Registrar,職工會登記局局長,8,2,2,0.0167,0.5686
admonition,訓誡,2,8,2,0.0168,0.7209
controlling,控權實體,8,8,8,0.0168,0.741
boundary,土地界線,8,8,8,0.0168,0.6512
distinctly,明確,8,8,8,0.0168,0.6739
precedence,排名,8,8,8,0.0168,0.6166
deep,龐大、具深度及活躍的市場,8,7,7,0.0168,0.4692
civil,公民,8,8,8,0.0169,0.6572
co-operative entity,合作實體,2,2,2,0.0169,0.7534
libel,永久形式誹謗,8,8,8,0.0169,0.7821
stay,擱置,8,8,8,0.0169,0.64
grossly,嚴重疏忽,4,8,4,0.0169,0.5136
subsist,存續,8,8,8,0.0169,0.5563
tender,呈交,8,8,8,0.017,0.6951
personnel,聯合國人員,8,8,8,0.017,0.6103
obscene,淫褻,8,8,8,0.017,0.7672
physically,身體上無能力,8,5,5,0.017,0.6849
whichever,視何者適用而定,8,8,8,0.017,0.7009
deductible,可扣除,8,8,8,0.0171,0.7028
ordinary,一般,8,8,8,0.0171,0.5819
earning,賺取收入能力,8,7,7,0.0171,0.5243
escalator,自動梯,8,8,8,0.0171,0.8436
replica,複製本,8,8,8,0.0171,0.7651
accounting,會計,8,8,8,0.0172,0.7691
cross-petition,交相呈請,2,2,2,0.0172,0.4799
next friend,訴訟保護人,8,2,2,0.0172,0.5771
reservation,保留,8,8,8,0.0172,0.714
chit-fund,銀會,7,8,7,0.0172,0.6331
faithfully,忠誠地,2,3,2,0.0172,0.665
impair,損害,8,8,8,0.0172,0.6004
outright,徹底,2,8,2,0.0172,0.4655
solicitor-client,律師與當事人間特權,2,2,2,0.0172,0.6949
user,使用者,8,8,8,0.0173,0.766
aggregation,合計,8,8,8,0.0173,0.6324
diminish,減輕,8,8,8,0.0173,0.6017
reassessment,重新評稅,2,3,2,0.0173,0.5421
validated,認可,8,8,8,0.0173,0.6404
mediate,調停,2,8,2,0.0174,0.6686
desire,意欲,8,8,8,0.0174,0.6054
in kind,實物,8,8,8,0.0174,0.7428
on-balance,資產負債表內風險承擔,8,8,8,0.0174,0.7456
non-recurring,當前及非經常需要,6,4,4,0.0174,0.6994
unleased,佔用未批租土地,8,8,8,0.0175,0.503
essence,要素,8,8,8,0.0175,0.693
allowable,可容許,8,8,8,0.0175,0.6566
brokerage,經紀費,8,8,8,0.0175,0.6138
freely,自願,8,8,8,0.0175,0.4875
habitation,居住,8,8,8,0.0175,0.5895
incitement,煽惑,8,8,8,0.0175,0.7344
mortgaged,已作按揭,8,6,6,0.0176,0.6696
invalid,無效,8,8,8,0.0176,0.7389
appointer,指定人,3,8,3,0.0176,0.5408
invention,對該項發明的可享專利性的論述,8,2,2,0.0176,0.5265
radioactive,放射性物質,8,8,8,0.0176,0.8479
minimal,輕微,8,8,8,0.0176,0.7151
application,申請,8,8,8,0.0177,0.6837
dissolution,終止,8,8,8,0.0177,0.4639
designated,指定範圍,8,8,8,0.0177,0.6942
duration,持續的時間,8,8,8,0.0177,0.6845
indemnified,獲彌償保障者,8,8,8,0.0177,0.6176
defended,有抗辯訴訟,8,3,3,0.0177,0.6159
corporal,體罰,4,2,2,0.0177,0.7551
assurance,保險,8,8,8,0.0178,0.7559
depose,宣誓證明,6,7,6,0.0178,0.7619
interim,中期,8,8,8,0.0178,0.537
memorandum,備忘錄,8,8,8,0.0178,0.735
compassionate,恩恤理由,3,2,2,0.0178,0.6006
dedicated,專用,8,8,8,0.0178,0.5573
nolle prosequi,中止檢控,6,6,6,0.0178,0.5517
performing,表演的權利,8,6,6,0.0178,0.6374
strategy,策略,8,8,8,0.0178,0.7151
letters of administration,遺產管理書,8,8,8,0.0178,0.7483
prefer,合法提出,8,2,2,0.0178,0.6477
typographical,排印或文書方面的錯誤,8,4,4,0.0178,0.5965
indorsee,承背書人,5,5,5,0.0179,0.5746
occasion,因應情況所需,8,6,6,0.0179,0.6335
survive,存續,8,8,8,0.0179,0.5918
promissory note,承付票,8,8,8,0.0179,0.7047
realized profit,已實現利潤,8,6,6,0.0179,0.7689
deleterious,有害的物質,5,5,5,0.0179,0.8236
Deputy Presiding Officer,副投票站主任,6,3,3,0.0179,0.6875
functioning,智能,8,4,4,0.0179,0.6266
journal,期刊,8,8,8,0.0179,0.6672
matched,配對,8,8,8,0.0179,0.6626
successor,繼任人,8,8,8,0.018,0.6314
work,作品,8,8,8,0.018,0.7105
eventual,最終,5,8,5,0.018,0.6126
musical,音樂聲音紀錄,8,4,4,0.018,0.6164
procurement,促致,8,8,8,0.0181,0.5669
mission,使館,8,2,2,0.0181,0.5186
combination,組合,8,8,8,0.0181,0.827
saleable,不能隨時出售,8,3,3,0.0181,0.6482
exist,不再存在,8,8,8,0.0181,0.5948
specially,一般地或特別地,8,4,4,0.0181,0.6982
garrison,駐軍,8,8,8,0.0181,0.5403
artificial,人工,8,8,8,0.0182,0.6938
construction,解釋,8,8,8,0.0182,0.6448
desertion,棄置,2,8,2,0.0182,0.5311
induce,誘使,8,8,8,0.0182,0.7371
influence,影響,8,8,8,0.0182,0.6753
maturity,到期,8,8,8,0.0182,0.6571
unqualified person,不合資格人士,8,8,8,0.0182,0.7259
arrears,欠款,8,8,8,0.0182,0.5821
suppress,抑制,7,8,7,0.0182,0.5765
retainer,聘用,8,8,8,0.0183,0.6362
supervisory,監督,8,8,8,0.0183,0.56
denomination,宗派,8,2,2,0.0183,0.6017
dominant,主要目,8,8,8,0.0183,0.4968
profit and loss,利潤及虧損,8,8,8,0.0183,0.7308
Deed of Mutual Covenant,公契,8,8,8,0.0184,0.657
contribution,供款,8,8,8,0.0184,0.6999
solvency,有償債能力證明書,8,4,4,0.0184,0.6191
opponent,反對人,8,8,8,0.0184,0.7179
wish,不欲,8,8,8,0.0184,0.6475
citation,引用,8,8,8,0.0185,0.6943
mesne,中間,6,8,6,0.0185,0.6238
remission,減免,8,8,8,0.0185,0.7291
destructive,殘害性物品,6,4,4,0.0185,0.8063
in being,在世,8,8,8,0.0185,0.6813
answerable,應負責,8,3,3,0.0186,0.6928
in the meantime,在此期間,8,8,8,0.0186,0.6303
box,陪審團席,8,7,7,0.0186,0.5764
erasure,刪除,8,8,8,0.0187,0.7211
passage,通過權,8,3,3,0.0187,0.5712
in lieu,代用證明書,8,4,4,0.0187,0.47
recurrent,經常性開支,8,2,2,0.0187,0.5375
air transhipment cargo,航空轉運貨物,8,8,8,0.0188,0.7821
conditional,有條件,8,8,8,0.0188,0.7336
derogate,廢除,8,8,8,0.0188,0.6659
original,原來,8,8,8,0.0188,0.6817
root,根本,8,3,3,0.0188,0.5183
prohibit,禁止,8,8,8,0.0188,0.7272
rabies,狂犬病控制區,8,6,6,0.0188,0.6338
honour,遵守,8,8,8,0.0189,0.6674
indigenous inhabitant,原居民,8,8,8,0.0189,0.5999
scheme,計劃,8,8,8,0.0189,0.7206
designation,《經濟合作與發展組織指引——為轉基因植物指定獨特標識》,8,2,2,0.0189,0.5797
financier,出資人,8,2,2,0.0189,0.5529
intangible,無形,8,8,8,0.0189,0.7086
subsequently,後來,8,8,8,0.0189,0.5787
wherever,在切實可行範圍內,8,8,8,0.0189,0.5695
secretary,秘書,8,8,8,0.019,0.6575
self-education,個人進修開支,4,4,4,0.019,0.5146
dependency,依賴,8,8,8,0.0191,0.6075
object,目的,8,8,8,0.0191,0.6714
use,使用,8,8,8,0.0191,0.7852
doubtful debt,呆帳,8,8,8,0.0191,0.665
conspicuously,顯明地,8,8,8,0.0191,0.7998
statistics,統計數字,8,8,8,0.0191,0.5913
intermodal,指明聯運轉運貨物,2,2,2,0.0191,0.6618
liquid,國際有毒液體物質證書,8,7,7,0.0192,0.6697
build-up,建立期徵費,6,4,4,0.0192,0.5634
life,壽命,8,8,8,0.0193,0.6354
marine,海上,8,8,8,0.0193,0.76
means of identity,身分證明文件,3,8,3,0.0193,0.6681
affirmative vote,贊成票,5,8,5,0.0193,0.74
containment,困囿,8,3,3,0.0193,0.5686
embark,展開,8,8,8,0.0193,0.6629
higher rights of audience,較高級法院出庭發言權證書,8,2,2,0.0193,0.6481
viability,持續經營能力,8,4,4,0.0193,0.7603
guardian,監護人,8,8,8,0.0194,0.72
speech,言論,8,4,4,0.0194,0.7126
counter-statement,反陳述,8,8,8,0.0194,0.7512
movable,動產,8,8,8,0.0194,0.7086
nominee,代名人,8,8,8,0.0194,0.6687
advocate,訟辯人,8,8,8,0.0195,0.6132
assume,假設,8,8,8,0.0195,0.6821
non-listed company,非上市公司,2,8,2,0.0195,0.6492
orders,警察通例,8,4,4,0.0195,0.4963
tally,脗合,4,8,4,0.0195,0.4298
accounting professional,會計專業人士,8,8,8,0.0195,0.7735
repository,貯存庫,8,2,2,0.0195,0.5704
mercury,汞,8,8,8,0.0195,0.8219
out,套現,8,8,8,0.0195,0.6986
juvenile,少年罪犯,8,8,8,0.0196,0.7367
oblige,無義務,8,8,8,0.0196,0.6963
privileged,享有特權,8,8,8,0.0196,0.728
winding up,強制清盤,8,3,3,0.0196,0.6106
noxious,國際有毒液體物質證書,8,7,7,0.0196,0.6376
in operation,正在營運,8,4,4,0.0196,0.6594
seduction,誘姦,6,5,5,0.0196,0.5466
appearance,出庭,8,8,8,0.0197,0.7049
insult,侮辱,7,8,7,0.0197,0.7499
nationality,國籍,8,8,8,0.0197,0.6
procedure,程序,8,8,8,0.0197,0.7254
abnormality of mind,神志失常,2,2,2,0.0197,0.7208
by resolution,藉通過決議,8,8,8,0.0197,0.6633
Capital Works Reserve Fund,基本工程儲備基金,2,2,2,0.0197,0.6692
elevation,立面,8,6,6,0.0197,0.6089
incompetency,不稱職,5,8,5,0.0197,0.6449
photograph,鳥瞰照片,8,5,5,0.0197,0.6535
concealed,隱藏物品,8,6,6,0.0197,0.7311
uninhabited,非居住間,2,2,2,0.0197,0.4715
outstanding,未償付,8,5,5,0.0198,0.4163
as the case may be,視屬何情況而定,8,8,8,0.0198,0.7197
buy,買入,8,8,8,0.0198,0.6187
conceal,隱藏,8,8,8,0.0198,0.7235
monsoon,強烈季候風信號,2,2,2,0.0198,0.4258
partial,局部,8,8,8,0.0199,0.5459
secret,秘密,8,8,8,0.0199,0.6858
upset,作廢,2,8,2,0.0199,0.6511
repossessed,經收回資產,2,2,2,0.0199,0.7147
stipulation,條款,8,8,8,0.02,0.6987
actuarial,精算,8,8,8,0.02,0.5589
autumn,秋季開庭期,3,3,3,0.02,0.7167
coded,以密碼存錄的資料,8,2,2,0.02,0.6191
in advance,預先繳付,8,8,8,0.02,0.5691
in place of,取代,8,8,8,0.02,0.6598
intra-group,集團內部融資業務,8,4,4,0.02,0.6905
redeliver,再交付,3,8,3,0.02,0.7268
saving provision,保留條文,8,8,8,0.02,0.6775
concessionary,關乎獲特惠的營業收入的未吸納虧損,8,5,5,0.02,0.6914
apparent,表面上,8,8,8,0.0201,0.6701
change of solicitor,轉換律師,8,8,8,0.0201,0.6751
functional,功能界別,8,8,8,0.0201,0.6228
genetic,血親關係,8,8,8,0.0201,0.5862
shell,持物業空殼公司,8,8,8,0.0201,0.5101
United Kingdom Patent Office,聯合王國專利局,2,2,2,0.0202,0.6943
decide,判定,8,8,8,0.0202,0.6728
disposal,安排,8,8,8,0.0202,0.7156
Land Registry,土地註冊處,8,8,8,0.0202,0.6942
inferior court,下級法庭,3,8,3,0.0202,0.6533
liquefied,《國際散裝運輸液化氣體船舶構造和設備規則》,8,4,4,0.0202,0.6362
chose in action,據法權產,8,8,8,0.0202,0.5936
after the fact,事後,2,8,2,0.0203,0.6074
confer,給予,8,8,8,0.0203,0.6098
establish,確立,8,8,8,0.0203,0.5981
family,家事,8,8,8,0.0203,0.5533
join,共同,8,8,8,0.0203,0.6476
replace,更換,8,8,8,0.0203,0.6515
acquire,收集,8,8,8,0.0203,0.6189
barrator,唆訟者,2,2,2,0.0203,0.5037
exceed,超逾,8,8,8,0.0203,0.7236
planning,規劃,8,8,8,0.0203,0.714
bankruptcy,破產法律程序,8,8,8,0.0205,0.6864
granting,發放,8,8,8,0.0205,0.6881
latest,最近期,8,8,8,0.0205,0.6879
sensitive,敏感街道,8,2,2,0.0205,0.6674
neuter,“捕捉、絕育、放回”機制,2,2,2,0.0205,0.273
access,有權接觸,8,4,4,0.0206,0.6711
endowment,儲蓄壽險,8,2,2,0.0206,0.6754
injury,傷害,8,8,8,0.0206,0.7719
quash,宣布無效,8,8,8,0.0206,0.6577
segregated account,獨立帳戶,8,8,8,0.0206,0.7388
think,覺得,8,8,8,0.0206,0.7529
balance,相對可能性,8,8,8,0.0206,0.6374
editorial,編輯方面的更改,8,2,2,0.0206,0.4871
