en,zh,k_en,k_zh,k_min,cos_BGE-EN-large_vs_BGE-ZH-large,cos_BGE-M3-EN_vs_BGE-M3-ZH
ejectable,彈射式,2,2,2,-0.0295,0.4522
avail,借助,8,8,8,-0.0293,0.5926
fundamental,基本,6,8,6,-0.0293,0.549
terminal,末期,8,8,8,-0.0292,0.5527
signal of distress,遇險訊號,4,8,4,-0.0291,0.6316
performer,表演者的權利,8,8,8,-0.0291,0.5769
seaworthy,適航,7,8,7,-0.0291,0.7102
monaural,單耳聽力損失,2,2,2,-0.0291,0.5485
ensure,確保,8,8,8,-0.029,0.7149
transferable,可轉讓,8,8,8,-0.0288,0.7635
voluntarily,自發地,8,2,2,-0.0286,0.5331
back,回程,8,5,5,-0.0284,0.6032
unsecured,無保證,8,8,8,-0.0284,0.5849
apparatus,無線電通訊器具,8,8,8,-0.0283,0.6354
clinic,診療所,8,8,8,-0.0282,0.7052
generate,產生,8,8,8,-0.0282,0.5499
expressway,快速公路,8,8,8,-0.0282,0.8107
registered,已登記,8,8,8,-0.0281,0.5981
transit,運送,8,8,8,-0.0281,0.6897
midwife,註冊助產士,8,8,8,-0.0281,0.662
statement,報表,8,8,8,-0.0279,0.5584
certification,核證,8,8,8,-0.0279,0.6103
hyperlink,超連結,8,8,8,-0.0279,0.5905
subsector,界別分組,8,8,8,-0.0279,0.675
payout,付款,2,8,2,-0.0279,0.7232
radio,無線電波,8,8,8,-0.0278,0.7308
vulnerability,保安漏洞,6,3,3,-0.0278,0.5777
computation,速動資金計算表,8,3,3,-0.0278,0.5087
inter vivos,生者之間的贈予,8,3,3,-0.0276,0.6671
goods vehicle,重型貨車,8,8,8,-0.0276,0.704
recognizable,可以辨認,8,3,3,-0.0275,0.4482
export,出口,8,8,8,-0.0274,0.5898
modify,修改,8,8,8,-0.0273,0.6922
stored value,儲值支付工具,8,8,8,-0.0273,0.6316
plate,司機證,8,3,3,-0.0273,0.6526
assign,受讓人,8,8,8,-0.0272,0.6775
deregistration,撤銷註冊,8,8,8,-0.0271,0.7075
capacity,能力,8,8,8,-0.027,0.6839
electronic signature,一般電子簽署,8,8,8,-0.027,0.7093
quantum,分量,8,8,8,-0.027,0.5045
energy,註冊能源效益評核人,8,8,8,-0.027,0.6479
share,一份,8,8,8,-0.0269,0.6479
visiting,巡獄委員會,8,5,5,-0.0269,0.436
interval,相隔時間,8,8,8,-0.0268,0.6007
rate,價格,8,8,8,-0.0268,0.6792
chiropractor,脊醫,8,8,8,-0.0268,0.7296
undelivered,無法派遞,8,8,8,-0.0268,0.5701
hinged,鉸接式,8,3,3,-0.0268,0.6029
non-identifiable,非可識辨身分資料,4,4,4,-0.0267,0.8231
subset,子集,8,8,8,-0.0267,0.5985
annotated,註解,4,2,2,-0.0265,0.5025
show,展示,8,8,8,-0.0265,0.6581
permittee,持證人,8,8,8,-0.0265,0.7834
rack,全額租金,8,3,3,-0.0265,0.6144
stolen,贓物,8,7,7,-0.0265,0.6473
regulator,管理者,8,8,8,-0.0264,0.6843
learner,學習駕駛執照,8,8,8,-0.0264,0.7151
healthcare,醫護服務,8,8,8,-0.0263,0.6084
set,主辦,8,8,8,-0.0263,0.6792
providing,流通量供應,8,3,3,-0.0263,0.6033
operational,可使用,8,8,8,-0.0262,0.543
space,空域,8,8,8,-0.026,0.6914
absconder,潛逃者,2,8,2,-0.026,0.5896
securitization,證券化,8,8,8,-0.026,0.6184
manning,人手配置,8,8,8,-0.0259,0.602
publication,公布,8,8,8,-0.0259,0.6287
tour,領隊牌照,8,8,8,-0.0259,0.6205
redelivery,已可作交還,3,3,3,-0.0259,0.5566
facilities,設施,8,8,8,-0.0258,0.5161
following,緊隨,8,8,8,-0.0258,0.6563
memorial,提要,8,8,8,-0.0257,0.407
non-voting,無表決權,3,3,3,-0.0257,0.6425
publicize,公布,8,8,8,-0.0256,0.6245
urgent,迫切需要,8,5,5,-0.0256,0.6197
air consignment note,航空托運單,4,4,4,-0.0255,0.5836
lighting,照明器具,8,3,3,-0.0255,0.7752
set-off,互相抵銷,8,8,8,-0.0254,0.4595
re-registration,重新註冊,8,8,8,-0.0254,0.7956
activate,執行緩刑,8,2,2,-0.0253,0.4826
sharing,享有同等權益,8,5,5,-0.0253,0.6398
terms and conditions,條款及條件,8,8,8,-0.0253,0.8022
unmanned,小型無人機,8,8,8,-0.0253,0.6448
waste; wastage,廢料,8,8,8,-0.0252,0.6266
improvement,改良,8,8,8,-0.0252,0.6638
light bus,小型巴士,8,8,8,-0.0251,0.7353
owner,登記車主,8,8,8,-0.0251,0.661
game,博彩遊戲,8,5,5,-0.0251,0.707
stop,停止,8,8,8,-0.025,0.6479
linear,線性地遞減,8,4,4,-0.025,0.4787
attend,到場,8,8,8,-0.0249,0.6157
aircraft,飛機,8,8,8,-0.0249,0.6538
primarily,主要,8,8,8,-0.0249,0.7363
revival,恢復效力,7,6,6,-0.0248,0.6277
withdrawable,可提取央行儲備,4,3,3,-0.0248,0.6451
physical injury,身體損傷,3,3,3,-0.0245,0.723
excusable,可予寬宥,2,2,2,-0.0245,0.5468
